	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLEC3B	-5.0014668135	0.256537302	-20.0129795845	2.97E-61	4.15E-57	128.3016291682
FAM107A	-5.0722051885	0.6815987624	-17.0379668934	1.08E-48	7.54E-45	99.8651092192
TCF21	-4.6388922772	0.3520830007	-16.2442495824	2.26E-45	1.05E-41	92.2497836411
TNXB	-5.4039615567	1.4666490356	-15.9004608824	6.08E-44	2.12E-40	89.0876836176
HSPB6	-6.9242809588	1.5623137393	-15.7615101414	2.29E-43	6.41E-40	87.7551917334
NR4A3	-5.3524333373	1.716999767	-15.5704288174	1.42E-42	3.30E-39	85.984841266
EGR3	-4.9550040164	1.6054978957	-15.3959393705	7.45E-42	1.49E-38	84.3381819826
SDPR	-4.5951893075	2.0246593251	-14.8535672446	1.26E-39	2.20E-36	79.284220292
PLAC9	-3.9054952122	0.7143548271	-14.7430674655	3.56E-39	5.52E-36	78.167193566
NEGR1	-5.1512347669	0.4481609817	-14.524296702	2.77E-38	3.87E-35	76.1572445078
ITGA8	-3.7395862937	1.7595006628	-14.2256743433	4.50E-37	5.71E-34	73.4735477626
ADAM33	-4.6818840254	0.7920595966	-14.132689313	1.07E-36	1.24E-33	72.565573145
MYOM1	-3.7011399735	0.2602070324	-14.1138420393	1.27E-36	1.37E-33	72.3473016279
TPPP	-3.8334933797	0.8912071723	-14.0860446526	1.65E-36	1.64E-33	72.1641890762
PID1	-3.9696685199	0.3719629982	-13.7797700304	2.80E-35	2.61E-32	69.2936254891
C7	-7.2885615772	0.5481841525	-13.7323847625	4.33E-35	3.78E-32	68.9193378008
JAM2	-3.3253289384	1.5255377614	-13.4971124992	3.75E-34	3.08E-31	66.8028737858
SOX17	-3.2018333697	0.3092090053	-13.4358971821	6.57E-34	5.10E-31	66.141779676
CFD	-4.7545600596	3.0878233766	-13.4240356485	7.32E-34	5.24E-31	66.1650981322
DPT	-6.9101692876	0.2089165807	-13.4212725341	7.51E-34	5.24E-31	66.0850410921
PGM5	-6.2044313283	1.6158408956	-13.3596489274	1.32E-33	8.77E-31	65.5778028638
RCAN2	-3.4453602611	2.340357382	-13.2227012074	4.59E-33	2.91E-30	64.3506729339
FILIP1	-3.9462206306	0.7321668746	-13.1637689222	7.83E-33	4.76E-30	63.7870606596
FOXF1	-3.9673649676	2.3711990949	-13.1426402052	9.49E-33	5.52E-30	63.6322338117
PDE2A	-3.0283293032	1.7429524309	-13.1240416272	1.12E-32	6.27E-30	63.4580030607
ANK2	-4.7800385027	0.5259216985	-13.0567939453	2.07E-32	1.11E-29	62.8222765014
KLF2	-3.4422862655	2.9438137018	-12.9631757413	4.81E-32	2.43E-29	62.0254089143
ABI3BP	-4.2672402805	1.8417755396	-12.9619691034	4.86E-32	2.43E-29	62.0160870651
ADCY5	-4.2992985917	1.1581257528	-12.9362106529	6.14E-32	2.95E-29	61.7838302492
MIR100HG	-4.4467906145	1.3403463009	-12.7761760337	2.59E-31	1.20E-28	60.3562593477
GNG7	-3.2698109212	0.7064700411	-12.7534823384	3.17E-31	1.43E-28	60.1319814416
CPED1	-3.995678446	1.1069622808	-12.738546881	3.63E-31	1.58E-28	60.0199151737
PHYHIP	-4.324410793	0.2192529811	-12.6619347886	7.20E-31	3.05E-28	59.3095292605
PSD	-3.7488805007	1.8527994805	-12.6545759345	7.69E-31	3.16E-28	59.2888712482
AP000892.6	-4.2382606196	1.0827378096	-12.6139470046	1.11E-30	4.41E-28	58.9191215935
KCNMB1	-4.2873337248	1.3550380102	-12.495256565	3.18E-30	1.24E-27	57.8841487453
LGI4	-2.9153590961	0.8894779576	-12.4314029833	5.62E-30	2.12E-27	57.296380562
PDK4	-4.8015109413	3.0584425819	-12.3943113409	7.81E-30	2.87E-27	56.9953197258
MRGPRF	-4.2291672328	2.1068729465	-12.3857784381	8.42E-30	3.01E-27	56.9258126241
GEM	-4.4954893337	2.4899647459	-12.3491541559	1.16E-29	4.07E-27	56.6045655086
FENDRR	-4.6559051452	1.1771443357	-12.3146296612	1.58E-29	5.38E-27	56.3045166559
MAOB	-4.7830704211	1.0479278776	-12.294273771	1.89E-29	6.29E-27	56.1222844658
OLFM1	-3.8748391549	0.3844537628	-12.2896242375	1.97E-29	6.40E-27	56.0558819091
SLC25A25	-2.6367468432	3.5286260988	-12.2148254303	3.81E-29	1.21E-26	55.4177513754
GNAL	-3.0407828305	1.5301501215	-12.1681616725	5.75E-29	1.79E-26	55.0282967271
LRRN4CL	-3.6235830961	0.003138169	-12.1409840178	7.31E-29	2.22E-26	54.7164706329
NR4A2	-3.2658148048	3.0254346645	-12.0888173582	1.16E-28	3.43E-26	54.3262987853
RASL12	-3.4079028829	1.886510658	-12.0848502551	1.20E-28	3.48E-26	54.3073533241
RAI2	-3.3168645196	1.2796235554	-12.0684380652	1.38E-28	3.94E-26	54.1626343672
